"JD.ID","Agency","Project.ID","District.or.Region","JD.Basis","PDF.Link","Finalized.Date","Closure.Method","Waters.Names","Resource.Types","Resource.Type.Description","Water.of.the.U.S.","Cowardin.Code","Cowardin.Category","Cowardin.Description","HGM","HGM.Description","Longitude","Latitude","State","County","HUC8","Authority","Local.Waterway","Similarly.Situated..a..8.","Similarly.Situated..a..7.","Normal.Farming","OHWM..Changes.in.plant.community","OHWM..Presence.of.bed.and.banks","OHWM..Break.in.slope","OHWM..Change.in.the.character.of.soil","OHWM..Change.in.vegetation.density.maturity","OHWM..Change.in.sediment.texture","OHWM..Natural.line.impressed.on.the.bank","OHWM..Destruction.of.terrestrial.vegetation","OHWM..Leaf.litter.disturbed","OHWM..Multiple.flow.events.observed","OHWM..Scour.marks","OHWM..Sediment.deposition","OHWM..Sediment.sorting","OHWM..Shelving","OHWM..Litter.and.debris","OHWM..Wrack.lines","OHWM..Matted..bent..or.absent.vegetation","OHWM..Water.staining","OHWM.Other","OHWM.Other.Text","Function.Present..Sediment.Trapping","Function.Present..Nutrient.Recycling","Function.Present..Pollutant.trapping..transformation..filtering..and.transport","Function.Present..Retention.and.attenuation.of.flood.waters","Function.Present..Runoff.storage","Function.Present..Contribution.of.flow","Function.Present..Export.of.organic.matter","Function.Present..Export.of.food.resources","Function.Present..Provision.of.life.cycle.dependent.aquatic.habitat"
5343869,"Corps","LRC-2017-00237","Chicago","AMENDED_2023RULE","https://permits.ops.usace.army.mil/orm-public/f?p=340:11:0::NO","05/05/2025","Approved JD That Did Not Require A Field/Site Visit","LRC-2017-237 Wetland A","A4-2.ADJ.WET.A2&amp;A3-404","(a)(4)(ii) Adjacent Wetland, adjacent to a relatively permanent paragraph (a)(2) Impoundment or (a)(3) Tributary (Section 404 Only)","Yes","PEM","Palustrine","Emergent, Palustrine","","",-88.22511,41.52359,"Illinois","Will",7120004,"Multiple","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
5343869,"Corps","LRC-2017-00237","Chicago","AMENDED_2023RULE","https://permits.ops.usace.army.mil/orm-public/f?p=340:11:0::NO","05/05/2025","Approved JD That Did Not Require A Field/Site Visit","LRC-2017-237 Borrow Pit","NON-WOTUS-INTSTATE-LKPND.NEGATIVE.A5","NON-WOTUS - Intrastate lake or pond not identified in paragraphs (a)(1 - 4) that is not relatively permanent or does not have a continuous surface connection to (a)(1) or (3) water","No","POW","Palustrine","Open Water, Palustrine","","",-88.22665,41.52351,"Illinois","Will",7120004,"Multiple","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
5342761,"Corps","MVS-2023-00030","St. Louis","AMENDED_2023RULE","https://permits.ops.usace.army.mil/orm-public/f?p=340:11:0::NO","05/01/2025","Approved JD That Did Require A Field/Site Visit","CH-1d1","NON-WOTUS-TRIB.NEGATIVE.A3","NON-WOTUS - Tributary evaluated under (a)(3) and determined to not be a relatively permanent water with a continuous surface connection to paragraph (a)(1) or (a)(3) water","No","R6","Riverine","A wetland, spring, stream, river, pond or lake that only exists for a short period","","",-88.7938,37.859,"Illinois","Williamson",7140106,"Multiple","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
5342761,"Corps","MVS-2023-00030","St. Louis","AMENDED_2023RULE","https://permits.ops.usace.army.mil/orm-public/f?p=340:11:0::NO","05/01/2025","Approved JD That Did Require A Field/Site Visit","CH-6","NON-WOTUS-TRIB.NEGATIVE.A3","NON-WOTUS - Tributary evaluated under (a)(3) and determined to not be a relatively permanent water with a continuous surface connection to paragraph (a)(1) or (a)(3) water","No","R6","Riverine","A wetland, spring, stream, river, pond or lake that only exists for a short period","","",-88.7926,37.8645,"Illinois","Franklin",7140106,"Multiple","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
5342761,"Corps","MVS-2023-00030","St. Louis","AMENDED_2023RULE","https://permits.ops.usace.army.mil/orm-public/f?p=340:11:0::NO","05/01/2025","Approved JD That Did Require A Field/Site Visit","CH-3a","NON-WOTUS-TRIB.NEGATIVE.A3","NON-WOTUS - Tributary evaluated under (a)(3) and determined to not be a relatively permanent water with a continuous surface connection to paragraph (a)(1) or (a)(3) water","No","R6","Riverine","A wetland, spring, stream, river, pond or lake that only exists for a short period","","",-88.8107,37.8531,"Illinois","Williamson",7140106,"Multiple","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
5342761,"Corps","MVS-2023-00030","St. Louis","AMENDED_2023RULE","https://permits.ops.usace.army.mil/orm-public/f?p=340:11:0::NO","05/01/2025","Approved JD That Did Require A Field/Site Visit","Wetland 2","NON-WOTUS-WET.NEGATIVE.A4","NON-WOTUS - Wetland that does not have a continuous surface connection to a paragraph (a)(1) water or to a relatively permanent paragraph (a)(2) impoundment or paragraph (a)(3) tributary","No","PFO","Palustrine","Forested, Palustrine","","",-88.8016,37.8627,"Illinois","Williamson",7140106,"Multiple","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
5342761,"Corps","MVS-2023-00030","St. Louis","AMENDED_2023RULE","https://permits.ops.usace.army.mil/orm-public/f?p=340:11:0::NO","05/01/2025","Approved JD That Did Require A Field/Site Visit","Wetland F","NON-WOTUS-WET.NEGATIVE.A4","NON-WOTUS - Wetland that does not have a continuous surface connection to a paragraph (a)(1) water or to a relatively permanent paragraph (a)(2) impoundment or paragraph (a)(3) tributary","No","PFO","Palustrine","Forested, Palustrine","","",-88.8018,37.8606,"Illinois","Williamson",7140106,"Multiple","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
5342761,"Corps","MVS-2023-00030","St. Louis","AMENDED_2023RULE","https://permits.ops.usace.army.mil/orm-public/f?p=340:11:0::NO","05/01/2025","Approved JD That Did Require A Field/Site Visit","Wetland K","NON-WOTUS-WET.NEGATIVE.A4","NON-WOTUS - Wetland that does not have a continuous surface connection to a paragraph (a)(1) water or to a relatively permanent paragraph (a)(2) impoundment or paragraph (a)(3) tributary","No","PEM","Palustrine","Emergent, Palustrine","","",-88.80809,37.85941,"Illinois","Williamson",7140106,"Multiple","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
5342761,"Corps","MVS-2023-00030","St. Louis","AMENDED_2023RULE","https://permits.ops.usace.army.mil/orm-public/f?p=340:11:0::NO","05/01/2025","Approved JD That Did Require A Field/Site Visit","Wetland H","NON-WOTUS-WET.NEGATIVE.A4","NON-WOTUS - Wetland that does not have a continuous surface connection to a paragraph (a)(1) water or to a relatively permanent paragraph (a)(2) impoundment or paragraph (a)(3) tributary","No","PFO","Palustrine","Forested, Palustrine","","",-88.8002,37.8585,"Illinois","Williamson",7140106,"Multiple","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
5342761,"Corps","MVS-2023-00030","St. Louis","AMENDED_2023RULE","https://permits.ops.usace.army.mil/orm-public/f?p=340:11:0::NO","05/01/2025","Approved JD That Did Require A Field/Site Visit","Wetland G","NON-WOTUS-WET.NEGATIVE.A4","NON-WOTUS - Wetland that does not have a continuous surface connection to a paragraph (a)(1) water or to a relatively permanent paragraph (a)(2) impoundment or paragraph (a)(3) tributary","No","PFO","Palustrine","Forested, Palustrine","","",-88.7998,37.8601,"Illinois","Williamson",7140106,"Multiple","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
5342761,"Corps","MVS-2023-00030","St. Louis","AMENDED_2023RULE","https://permits.ops.usace.army.mil/orm-public/f?p=340:11:0::NO","05/01/2025","Approved JD That Did Require A Field/Site Visit","Wetland L","NON-WOTUS-WET.NEGATIVE.A4","NON-WOTUS - Wetland that does not have a continuous surface connection to a paragraph (a)(1) water or to a relatively permanent paragraph (a)(2) impoundment or paragraph (a)(3) tributary","No","PEM","Palustrine","Emergent, Palustrine","","",-88.791,37.864,"Illinois","Franklin",7140106,"Multiple","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
5342761,"Corps","MVS-2023-00030","St. Louis","AMENDED_2023RULE","https://permits.ops.usace.army.mil/orm-public/f?p=340:11:0::NO","05/01/2025","Approved JD That Did Require A Field/Site Visit","Wetland C","NON-WOTUS-WET.NEGATIVE.A4","NON-WOTUS - Wetland that does not have a continuous surface connection to a paragraph (a)(1) water or to a relatively permanent paragraph (a)(2) impoundment or paragraph (a)(3) tributary","No","PFO","Palustrine","Forested, Palustrine","","",-88.79009,37.85317,"Illinois","Williamson",7140106,"Multiple","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
5342761,"Corps","MVS-2023-00030","St. Louis","AMENDED_2023RULE","https://permits.ops.usace.army.mil/orm-public/f?p=340:11:0::NO","05/01/2025","Approved JD That Did Require A Field/Site Visit","Wetland B","NON-WOTUS-WET.NEGATIVE.A4","NON-WOTUS - Wetland that does not have a continuous surface connection to a paragraph (a)(1) water or to a relatively permanent paragraph (a)(2) impoundment or paragraph (a)(3) tributary","No","PFO","Palustrine","Forested, Palustrine","","",-88.7934,37.85744,"Illinois","Williamson",7140106,"Multiple","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
5342761,"Corps","MVS-2023-00030","St. Louis","AMENDED_2023RULE","https://permits.ops.usace.army.mil/orm-public/f?p=340:11:0::NO","05/01/2025","Approved JD That Did Require A Field/Site Visit","Wetland 1","NON-WOTUS-WET.NEGATIVE.A4","NON-WOTUS - Wetland that does not have a continuous surface connection to a paragraph (a)(1) water or to a relatively permanent paragraph (a)(2) impoundment or paragraph (a)(3) tributary","No","PFO","Palustrine","Forested, Palustrine","","",-88.79335,37.85408,"Illinois","Williamson",7140106,"Multiple","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
5342761,"Corps","MVS-2023-00030","St. Louis","AMENDED_2023RULE","https://permits.ops.usace.army.mil/orm-public/f?p=340:11:0::NO","05/01/2025","Approved JD That Did Require A Field/Site Visit","CH-2c","NON-WOTUS-TRIB.NEGATIVE.A3","NON-WOTUS - Tributary evaluated under (a)(3) and determined to not be a relatively permanent water with a continuous surface connection to paragraph (a)(1) or (a)(3) water","No","R6","Riverine","A wetland, spring, stream, river, pond or lake that only exists for a short period","","",-88.8018,37.8611,"Illinois","Williamson",7140106,"Multiple","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
5342761,"Corps","MVS-2023-00030","St. Louis","AMENDED_2023RULE","https://permits.ops.usace.army.mil/orm-public/f?p=340:11:0::NO","05/01/2025","Approved JD That Did Require A Field/Site Visit","CH-5","NON-WOTUS-TRIB.NEGATIVE.A3","NON-WOTUS - Tributary evaluated under (a)(3) and determined to not be a relatively permanent water with a continuous surface connection to paragraph (a)(1) or (a)(3) water","No","R6","Riverine","A wetland, spring, stream, river, pond or lake that only exists for a short period","","",-88.80749,37.86119,"Illinois","Williamson",7140106,"Multiple","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
5342761,"Corps","MVS-2023-00030","St. Louis","AMENDED_2023RULE","https://permits.ops.usace.army.mil/orm-public/f?p=340:11:0::NO","05/01/2025","Approved JD That Did Require A Field/Site Visit","CH-1d","NON-WOTUS-TRIB.NEGATIVE.A3","NON-WOTUS - Tributary evaluated under (a)(3) and determined to not be a relatively permanent water with a continuous surface connection to paragraph (a)(1) or (a)(3) water","No","R6","Riverine","A wetland, spring, stream, river, pond or lake that only exists for a short period","","",-88.7933,37.8574,"Illinois","Williamson",7140106,"Multiple","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
5342761,"Corps","MVS-2023-00030","St. Louis","AMENDED_2023RULE","https://permits.ops.usace.army.mil/orm-public/f?p=340:11:0::NO","05/01/2025","Approved JD That Did Require A Field/Site Visit","CH-2 (non-RPW)","NON-WOTUS-TRIB.NEGATIVE.A3","NON-WOTUS - Tributary evaluated under (a)(3) and determined to not be a relatively permanent water with a continuous surface connection to paragraph (a)(1) or (a)(3) water","No","R6","Riverine","A wetland, spring, stream, river, pond or lake that only exists for a short period","","",-88.8031,37.8576,"Illinois","Williamson",7140106,"Multiple","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
5342761,"Corps","MVS-2023-00030","St. Louis","AMENDED_2023RULE","https://permits.ops.usace.army.mil/orm-public/f?p=340:11:0::NO","05/01/2025","Approved JD That Did Require A Field/Site Visit","CH-2a","NON-WOTUS-TRIB.NEGATIVE.A3","NON-WOTUS - Tributary evaluated under (a)(3) and determined to not be a relatively permanent water with a continuous surface connection to paragraph (a)(1) or (a)(3) water","No","R6","Riverine","A wetland, spring, stream, river, pond or lake that only exists for a short period","","",-88.8002,37.8581,"Illinois","Williamson",7140106,"Multiple","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
5342761,"Corps","MVS-2023-00030","St. Louis","AMENDED_2023RULE","https://permits.ops.usace.army.mil/orm-public/f?p=340:11:0::NO","05/01/2025","Approved JD That Did Require A Field/Site Visit","Wetland D","A4-2.ADJ.WET.A2&amp;A3-404","(a)(4)(ii) Adjacent Wetland, adjacent to a relatively permanent paragraph (a)(2) Impoundment or (a)(3) Tributary (Section 404 Only)","Yes","PFO","Palustrine","Forested, Palustrine","","",-88.8099,37.8534,"Illinois","Williamson",7140106,"Multiple","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
5342761,"Corps","MVS-2023-00030","St. Louis","AMENDED_2023RULE","https://permits.ops.usace.army.mil/orm-public/f?p=340:11:0::NO","05/01/2025","Approved JD That Did Require A Field/Site Visit","RT of Pond Creek","A3.TRIB-404","(a)(3) Tributary (Section 404 Only)","Yes","R3","Riverine","Upper Perennial, Riverine","","",-88.8096,37.8543,"Illinois","Williamson",7140106,"Multiple","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
5342761,"Corps","MVS-2023-00030","St. Louis","AMENDED_2023RULE","https://permits.ops.usace.army.mil/orm-public/f?p=340:11:0::NO","05/01/2025","Approved JD That Did Require A Field/Site Visit","Pond Creek","A3.TRIB-404","(a)(3) Tributary (Section 404 Only)","Yes","R3","Riverine","Upper Perennial, Riverine","","",-88.81664,37.85447,"Illinois","Williamson",7140106,"Multiple","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
5342761,"Corps","MVS-2023-00030","St. Louis","AMENDED_2023RULE","https://permits.ops.usace.army.mil/orm-public/f?p=340:11:0::NO","05/01/2025","Approved JD That Did Require A Field/Site Visit","CH-7","A3.TRIB-404","(a)(3) Tributary (Section 404 Only)","Yes","R4SB","Riverine","Streambed, Intermittent, Riverine","","",-88.8117,37.8484,"Illinois","Williamson",7140106,"Multiple","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
5342761,"Corps","MVS-2023-00030","St. Louis","AMENDED_2023RULE","https://permits.ops.usace.army.mil/orm-public/f?p=340:11:0::NO","05/01/2025","Approved JD That Did Require A Field/Site Visit","CH-2 (RPW)","A3.TRIB-404","(a)(3) Tributary (Section 404 Only)","Yes","R4SB","Riverine","Streambed, Intermittent, Riverine","","",-88.8031,37.8548,"Illinois","Williamson",7140106,"Multiple","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
5342761,"Corps","MVS-2023-00030","St. Louis","AMENDED_2023RULE","https://permits.ops.usace.army.mil/orm-public/f?p=340:11:0::NO","05/01/2025","Approved JD That Did Require A Field/Site Visit","Wetland M","NON-WOTUS-WET.NEGATIVE.A4","NON-WOTUS - Wetland that does not have a continuous surface connection to a paragraph (a)(1) water or to a relatively permanent paragraph (a)(2) impoundment or paragraph (a)(3) tributary","No","PFO","Palustrine","Forested, Palustrine","","",-88.792,37.865,"Illinois","Franklin",7140106,"Multiple","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
5342761,"Corps","MVS-2023-00030","St. Louis","AMENDED_2023RULE","https://permits.ops.usace.army.mil/orm-public/f?p=340:11:0::NO","05/01/2025","Approved JD That Did Require A Field/Site Visit","Wetland E","A4-2.ADJ.WET.A2&amp;A3-404","(a)(4)(ii) Adjacent Wetland, adjacent to a relatively permanent paragraph (a)(2) Impoundment or (a)(3) Tributary (Section 404 Only)","Yes","PFO","Palustrine","Forested, Palustrine","","",-88.8037,37.8564,"Illinois","Williamson",7140106,"Multiple","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
